Pressure_psia,Temperature_F,Gas_SG,CO2_fraction,N2_fraction,Viscosity_cp
1450.4,80.3,0.5539,0.0,0.0,0.013753
1450.4,116.3,0.5539,0.0,0.0,0.014043
1450.4,152.3,0.5539,0.0,0.0,0.014412
1450.4,188.3,0.5539,0.0,0.0,0.014824
1450.4,224.3,0.5539,0.0,0.0,0.015262
1450.4,260.3,0.5539,0.0,0.0,0.015714
1450.4,296.3,0.5539,0.0,0.0,0.016176
1450.4,332.3,0.5539,0.0,0.0,0.016641
1450.4,368.3,0.5539,0.0,0.0,0.017108
1450.4,404.3,0.5539,0.0,0.0,0.017574
1450.4,440.3,0.5539,0.0,0.0,0.018038
1450.4,476.3,0.5539,0.0,0.0,0.018499
1450.4,512.3,0.5539,0.0,0.0,0.018957
1450.4,548.3,0.5539,0.0,0.0,0.019411
1450.4,584.3,0.5539,0.0,0.0,0.019861
1450.4,620.3,0.5539,0.0,0.0,0.020307
1450.4,656.3,0.5539,0.0,0.0,0.020748
2175.6,80.3,0.5539,0.0,0.0,0.016197
2175.6,116.3,0.5539,0.0,0.0,0.016005
2175.6,152.3,0.5539,0.0,0.0,0.016048
2175.6,188.3,0.5539,0.0,0.0,0.016228
2175.6,224.3,0.5539,0.0,0.0,0.016492
2175.6,260.3,0.5539,0.0,0.0,0.01681
2175.6,296.3,0.5539,0.0,0.0,0.017164
2175.6,332.3,0.5539,0.0,0.0,0.017542
2175.6,368.3,0.5539,0.0,0.0,0.017936
2175.6,404.3,0.5539,0.0,0.0,0.018341
2175.6,440.3,0.5539,0.0,0.0,0.018753
2175.6,476.3,0.5539,0.0,0.0,0.019169
2175.6,512.3,0.5539,0.0,0.0,0.019587
2175.6,548.3,0.5539,0.0,0.0,0.020006
2175.6,584.3,0.5539,0.0,0.0,0.020426
2175.6,620.3,0.5539,0.0,0.0,0.020844
2175.6,656.3,0.5539,0.0,0.0,0.02126
2900.8,80.3,0.5539,0.0,0.0,0.019068
2900.8,116.3,0.5539,0.0,0.0,0.018328
2900.8,152.3,0.5539,0.0,0.0,0.017978
2900.8,188.3,0.5539,0.0,0.0,0.017871
2900.8,224.3,0.5539,0.0,0.0,0.017918
2900.8,260.3,0.5539,0.0,0.0,0.018068
2900.8,296.3,0.5539,0.0,0.0,0.018289
2900.8,332.3,0.5539,0.0,0.0,0.018559
2900.8,368.3,0.5539,0.0,0.0,0.018864
2900.8,404.3,0.5539,0.0,0.0,0.019194
2900.8,440.3,0.5539,0.0,0.0,0.019542
2900.8,476.3,0.5539,0.0,0.0,0.019904
2900.8,512.3,0.5539,0.0,0.0,0.020275
2900.8,548.3,0.5539,0.0,0.0,0.020653
2900.8,584.3,0.5539,0.0,0.0,0.021036
2900.8,620.3,0.5539,0.0,0.0,0.021422
2900.8,656.3,0.5539,0.0,0.0,0.021809
3626.0,80.3,0.5539,0.0,0.0,0.021958
3626.0,116.3,0.5539,0.0,0.0,0.020764
3626.0,152.3,0.5539,0.0,0.0,0.020045
3626.0,188.3,0.5539,0.0,0.0,0.019647
3626.0,224.3,0.5539,0.0,0.0,0.019466
3626.0,260.3,0.5539,0.0,0.0,0.019434
3626.0,296.3,0.5539,0.0,0.0,0.019509
3626.0,332.3,0.5539,0.0,0.0,0.019659
3626.0,368.3,0.5539,0.0,0.0,0.019864
3626.0,404.3,0.5539,0.0,0.0,0.020111
3626.0,440.3,0.5539,0.0,0.0,0.020389
3626.0,476.3,0.5539,0.0,0.0,0.02069
3626.0,512.3,0.5539,0.0,0.0,0.021008
3626.0,548.3,0.5539,0.0,0.0,0.02134
3626.0,584.3,0.5539,0.0,0.0,0.021683
3626.0,620.3,0.5539,0.0,0.0,0.022033
3626.0,656.3,0.5539,0.0,0.0,0.022388
4351.1,80.3,0.5539,0.0,0.0,0.024673
4351.1,116.3,0.5539,0.0,0.0,0.023144
4351.1,152.3,0.5539,0.0,0.0,0.022122
4351.1,188.3,0.5539,0.0,0.0,0.021464
4351.1,224.3,0.5539,0.0,0.0,0.021067
4351.1,260.3,0.5539,0.0,0.0,0.020857
4351.1,296.3,0.5539,0.0,0.0,0.020784
4351.1,332.3,0.5539,0.0,0.0,0.020812
4351.1,368.3,0.5539,0.0,0.0,0.020914
4351.1,404.3,0.5539,0.0,0.0,0.021074
4351.1,440.3,0.5539,0.0,0.0,0.021276
4351.1,476.3,0.5539,0.0,0.0,0.021513
4351.1,512.3,0.5539,0.0,0.0,0.021776
4351.1,548.3,0.5539,0.0,0.0,0.022058
4351.1,584.3,0.5539,0.0,0.0,0.022358
4351.1,620.3,0.5539,0.0,0.0,0.022669
4351.1,656.3,0.5539,0.0,0.0,0.022991
5076.3,80.3,0.5539,0.0,0.0,0.027179
5076.3,116.3,0.5539,0.0,0.0,0.025402
5076.3,152.3,0.5539,0.0,0.0,0.024139
5076.3,188.3,0.5539,0.0,0.0,0.023262
5076.3,224.3,0.5539,0.0,0.0,0.022673
5076.3,260.3,0.5539,0.0,0.0,0.022298
5076.3,296.3,0.5539,0.0,0.0,0.022084
5076.3,332.3,0.5539,0.0,0.0,0.021992
5076.3,368.3,0.5539,0.0,0.0,0.021992
5076.3,404.3,0.5539,0.0,0.0,0.022064
5076.3,440.3,0.5539,0.0,0.0,0.022191
5076.3,476.3,0.5539,0.0,0.0,0.022361
5076.3,512.3,0.5539,0.0,0.0,0.022566
5076.3,548.3,0.5539,0.0,0.0,0.022799
5076.3,584.3,0.5539,0.0,0.0,0.023053
5076.3,620.3,0.5539,0.0,0.0,0.023325
5076.3,656.3,0.5539,0.0,0.0,0.023611
5801.5,80.3,0.5539,0.0,0.0,0.029498
5801.5,116.3,0.5539,0.0,0.0,0.027527
5801.5,152.3,0.5539,0.0,0.0,0.02607
5801.5,188.3,0.5539,0.0,0.0,0.02501
5801.5,224.3,0.5539,0.0,0.0,0.024254
5801.5,260.3,0.5539,0.0,0.0,0.02373
5801.5,296.3,0.5539,0.0,0.0,0.023386
5801.5,332.3,0.5539,0.0,0.0,0.02318
5801.5,368.3,0.5539,0.0,0.0,0.023082
5801.5,404.3,0.5539,0.0,0.0,0.023068
5801.5,440.3,0.5539,0.0,0.0,0.02312
5801.5,476.3,0.5539,0.0,0.0,0.023225
5801.5,512.3,0.5539,0.0,0.0,0.023373
5801.5,548.3,0.5539,0.0,0.0,0.023554
5801.5,584.3,0.5539,0.0,0.0,0.023763
5801.5,620.3,0.5539,0.0,0.0,0.023994
5801.5,656.3,0.5539,0.0,0.0,0.024244
6526.7,80.3,0.5539,0.0,0.0,0.03166
6526.7,116.3,0.5539,0.0,0.0,0.02953
6526.7,152.3,0.5539,0.0,0.0,0.027912
6526.7,188.3,0.5539,0.0,0.0,0.026696
6526.7,224.3,0.5539,0.0,0.0,0.025794
6526.7,260.3,0.5539,0.0,0.0,0.025138
6526.7,296.3,0.5539,0.0,0.0,0.024675
6526.7,332.3,0.5539,0.0,0.0,0.024364
6526.7,368.3,0.5539,0.0,0.0,0.024173
6526.7,404.3,0.5539,0.0,0.0,0.024076
6526.7,440.3,0.5539,0.0,0.0,0.024056
6526.7,476.3,0.5539,0.0,0.0,0.024097
6526.7,512.3,0.5539,0.0,0.0,0.024187
6526.7,548.3,0.5539,0.0,0.0,0.024318
6526.7,584.3,0.5539,0.0,0.0,0.024482
6526.7,620.3,0.5539,0.0,0.0,0.024673
6526.7,656.3,0.5539,0.0,0.0,0.024886
7251.9,80.3,0.5539,0.0,0.0,0.033695
7251.9,116.3,0.5539,0.0,0.0,0.031426
7251.9,152.3,0.5539,0.0,0.0,0.029669
7251.9,188.3,0.5539,0.0,0.0,0.028318
7251.9,224.3,0.5539,0.0,0.0,0.027289
7251.9,260.3,0.5539,0.0,0.0,0.026514
7251.9,296.3,0.5539,0.0,0.0,0.025944
7251.9,332.3,0.5539,0.0,0.0,0.025535
7251.9,368.3,0.5539,0.0,0.0,0.025256
7251.9,404.3,0.5539,0.0,0.0,0.025082
7251.9,440.3,0.5539,0.0,0.0,0.024992
7251.9,476.3,0.5539,0.0,0.0,0.024971
7251.9,512.3,0.5539,0.0,0.0,0.025006
7251.9,548.3,0.5539,0.0,0.0,0.025087
7251.9,584.3,0.5539,0.0,0.0,0.025206
7251.9,620.3,0.5539,0.0,0.0,0.025356
7251.9,656.3,0.5539,0.0,0.0,0.025533
7977.1,80.3,0.5539,0.0,0.0,0.035625
7977.1,116.3,0.5539,0.0,0.0,0.033232
7977.1,152.3,0.5539,0.0,0.0,0.031352
7977.1,188.3,0.5539,0.0,0.0,0.029881
7977.1,224.3,0.5539,0.0,0.0,0.028737
7977.1,260.3,0.5539,0.0,0.0,0.027856
7977.1,296.3,0.5539,0.0,0.0,0.027186
7977.1,332.3,0.5539,0.0,0.0,0.026688
7977.1,368.3,0.5539,0.0,0.0,0.026327
7977.1,404.3,0.5539,0.0,0.0,0.026079
7977.1,440.3,0.5539,0.0,0.0,0.025923
7977.1,476.3,0.5539,0.0,0.0,0.025842
7977.1,512.3,0.5539,0.0,0.0,0.025824
7977.1,548.3,0.5539,0.0,0.0,0.025856
7977.1,584.3,0.5539,0.0,0.0,0.025932
7977.1,620.3,0.5539,0.0,0.0,0.026043
7977.1,656.3,0.5539,0.0,0.0,0.026184
8702.3,80.3,0.5539,0.0,0.0,0.03747
8702.3,116.3,0.5539,0.0,0.0,0.034961
8702.3,152.3,0.5539,0.0,0.0,0.032969
8702.3,188.3,0.5539,0.0,0.0,0.031388
8702.3,224.3,0.5539,0.0,0.0,0.030141
8702.3,260.3,0.5539,0.0,0.0,0.029162
8702.3,296.3,0.5539,0.0,0.0,0.028402
8702.3,332.3,0.5539,0.0,0.0,0.02782
8702.3,368.3,0.5539,0.0,0.0,0.027384
8702.3,404.3,0.5539,0.0,0.0,0.027066
8702.3,440.3,0.5539,0.0,0.0,0.026847
8702.3,476.3,0.5539,0.0,0.0,0.026709
8702.3,512.3,0.5539,0.0,0.0,0.026638
8702.3,548.3,0.5539,0.0,0.0,0.026624
8702.3,584.3,0.5539,0.0,0.0,0.026657
8702.3,620.3,0.5539,0.0,0.0,0.026729
8702.3,656.3,0.5539,0.0,0.0,0.026835
9427.5,80.3,0.5539,0.0,0.0,0.039242
9427.5,116.3,0.5539,0.0,0.0,0.036626
9427.5,152.3,0.5539,0.0,0.0,0.034528
9427.5,188.3,0.5539,0.0,0.0,0.032848
9427.5,224.3,0.5539,0.0,0.0,0.031504
9427.5,260.3,0.5539,0.0,0.0,0.030436
9427.5,296.3,0.5539,0.0,0.0,0.029592
9427.5,332.3,0.5539,0.0,0.0,0.028932
9427.5,368.3,0.5539,0.0,0.0,0.028423
9427.5,404.3,0.5539,0.0,0.0,0.02804
9427.5,440.3,0.5539,0.0,0.0,0.027761
9427.5,476.3,0.5539,0.0,0.0,0.027568
9427.5,512.3,0.5539,0.0,0.0,0.027448
9427.5,548.3,0.5539,0.0,0.0,0.027388
9427.5,584.3,0.5539,0.0,0.0,0.02738
9427.5,620.3,0.5539,0.0,0.0,0.027414
9427.5,656.3,0.5539,0.0,0.0,0.027486
10152.7,80.3,0.5539,0.0,0.0,0.040954
10152.7,116.3,0.5539,0.0,0.0,0.038235
10152.7,152.3,0.5539,0.0,0.0,0.036038
10152.7,188.3,0.5539,0.0,0.0,0.034263
10152.7,224.3,0.5539,0.0,0.0,0.032831
10152.7,260.3,0.5539,0.0,0.0,0.031678
10152.7,296.3,0.5539,0.0,0.0,0.030755
10152.7,332.3,0.5539,0.0,0.0,0.030022
10152.7,368.3,0.5539,0.0,0.0,0.029446
10152.7,404.3,0.5539,0.0,0.0,0.029001
10152.7,440.3,0.5539,0.0,0.0,0.028665
10152.7,476.3,0.5539,0.0,0.0,0.02842
10152.7,512.3,0.5539,0.0,0.0,0.028251
10152.7,548.3,0.5539,0.0,0.0,0.028148
10152.7,584.3,0.5539,0.0,0.0,0.028099
10152.7,620.3,0.5539,0.0,0.0,0.028097
10152.7,656.3,0.5539,0.0,0.0,0.028135
10877.9,80.3,0.5539,0.0,0.0,0.042615
10877.9,116.3,0.5539,0.0,0.0,0.039796
10877.9,152.3,0.5539,0.0,0.0,0.037506
10877.9,188.3,0.5539,0.0,0.0,0.035641
10877.9,224.3,0.5539,0.0,0.0,0.034124
10877.9,260.3,0.5539,0.0,0.0,0.032892
10877.9,296.3,0.5539,0.0,0.0,0.031895
10877.9,332.3,0.5539,0.0,0.0,0.031093
10877.9,368.3,0.5539,0.0,0.0,0.030453
10877.9,404.3,0.5539,0.0,0.0,0.029948
