Pressure_psia,Temperature_F,Temperature_K,Pressure_MPa,Gas_SG,CO2_fraction,N2_fraction,Viscosity_cp,Density_kg_m3,Gas_Type
1450.4,80.3,300.0,10,0.5539,0.0,0.0,0.013753,75.175,Methane
1450.4,116.3,320.0,10,0.5539,0.0,0.0,0.014043,67.614,Methane
1450.4,152.3,340.0,10,0.5539,0.0,0.0,0.014412,61.747,Methane
1450.4,188.3,360.0,10,0.5539,0.0,0.0,0.014824,57.01,Methane
1450.4,224.3,380.0,10,0.5539,0.0,0.0,0.015262,53.075,Methane
1450.4,260.3,400.0,10,0.5539,0.0,0.0,0.015714,49.736,Methane
1450.4,296.3,420.0,10,0.5539,0.0,0.0,0.016176,46.854,Methane
1450.4,332.3,440.0,10,0.5539,0.0,0.0,0.016641,44.333,Methane
1450.4,368.3,460.0,10,0.5539,0.0,0.0,0.017108,42.103,Methane
1450.4,404.3,480.0,10,0.5539,0.0,0.0,0.017574,40.112,Methane
1450.4,440.3,500.0,10,0.5539,0.0,0.0,0.018038,38.322,Methane
1450.4,476.3,520.0,10,0.5539,0.0,0.0,0.018499,36.7,Methane
1450.4,512.3,540.0,10,0.5539,0.0,0.0,0.018957,35.222,Methane
1450.4,548.3,560.0,10,0.5539,0.0,0.0,0.019411,33.869,Methane
1450.4,584.3,580.0,10,0.5539,0.0,0.0,0.019861,32.624,Methane
1450.4,620.3,600.0,10,0.5539,0.0,0.0,0.020307,31.474,Methane
1450.4,656.3,620.0,10,0.5539,0.0,0.0,0.020748,30.409,Methane
2175.6,80.3,300.0,15,0.5539,0.0,0.0,0.016197,117.21,Methane
2175.6,116.3,320.0,15,0.5539,0.0,0.0,0.016005,104.14,Methane
2175.6,152.3,340.0,15,0.5539,0.0,0.0,0.016048,94.226,Methane
2175.6,188.3,360.0,15,0.5539,0.0,0.0,0.016228,86.39,Methane
2175.6,224.3,380.0,15,0.5539,0.0,0.0,0.016492,79.996,Methane
2175.6,260.3,400.0,15,0.5539,0.0,0.0,0.01681,74.65,Methane
2175.6,296.3,420.0,15,0.5539,0.0,0.0,0.017164,70.093,Methane
2175.6,332.3,440.0,15,0.5539,0.0,0.0,0.017542,66.148,Methane
2175.6,368.3,460.0,15,0.5539,0.0,0.0,0.017936,62.689,Methane
2175.6,404.3,480.0,15,0.5539,0.0,0.0,0.018341,59.624,Methane
2175.6,440.3,500.0,15,0.5539,0.0,0.0,0.018753,56.884,Methane
2175.6,476.3,520.0,15,0.5539,0.0,0.0,0.019169,54.415,Methane
2175.6,512.3,540.0,15,0.5539,0.0,0.0,0.019587,52.176,Methane
2175.6,548.3,560.0,15,0.5539,0.0,0.0,0.020006,50.134,Methane
2175.6,584.3,580.0,15,0.5539,0.0,0.0,0.020426,48.262,Methane
2175.6,620.3,600.0,15,0.5539,0.0,0.0,0.020844,46.538,Methane
2175.6,656.3,620.0,15,0.5539,0.0,0.0,0.02126,44.944,Methane
2900.8,80.3,300.0,20,0.5539,0.0,0.0,0.019068,155.28,Methane
2900.8,116.3,320.0,20,0.5539,0.0,0.0,0.018328,138.23,Methane
2900.8,152.3,340.0,20,0.5539,0.0,0.0,0.017978,124.98,Methane
2900.8,188.3,360.0,20,0.5539,0.0,0.0,0.017871,114.41,Methane
2900.8,224.3,380.0,20,0.5539,0.0,0.0,0.017918,105.76,Methane
2900.8,260.3,400.0,20,0.5539,0.0,0.0,0.018068,98.543,Methane
2900.8,296.3,420.0,20,0.5539,0.0,0.0,0.018289,92.404,Methane
2900.8,332.3,440.0,20,0.5539,0.0,0.0,0.018559,87.105,Methane
2900.8,368.3,460.0,20,0.5539,0.0,0.0,0.018864,82.473,Methane
2900.8,404.3,480.0,20,0.5539,0.0,0.0,0.019194,78.381,Methane
2900.8,440.3,500.0,20,0.5539,0.0,0.0,0.019542,74.731,Methane
2900.8,476.3,520.0,20,0.5539,0.0,0.0,0.019904,71.452,Methane
2900.8,512.3,540.0,20,0.5539,0.0,0.0,0.020275,68.485,Methane
2900.8,548.3,560.0,20,0.5539,0.0,0.0,0.020653,65.783,Methane
2900.8,584.3,580.0,20,0.5539,0.0,0.0,0.021036,63.311,Methane
2900.8,620.3,600.0,20,0.5539,0.0,0.0,0.021422,61.038,Methane
2900.8,656.3,620.0,20,0.5539,0.0,0.0,0.021809,58.939,Methane
