Pressure_psia,Temperature_F,Temperature_K,Pressure_MPa,Gas_SG,CO2_fraction,N2_fraction,Viscosity_cp,Density_kg_m3,Gas_Type
1450.4,80.3,300.0,10,0.9672,0.0,1.0,0.019961,111.73,Nitrogen
1450.4,116.3,320.0,10,0.9672,0.0,1.0,0.020657,103.65,Nitrogen
1450.4,152.3,340.0,10,0.9672,0.0,1.0,0.021366,96.798,Nitrogen
1450.4,188.3,360.0,10,0.9672,0.0,1.0,0.02208,90.893,Nitrogen
1450.4,224.3,380.0,10,0.9672,0.0,1.0,0.022795,85.736,Nitrogen
1450.4,260.3,400.0,10,0.9672,0.0,1.0,0.023509,81.186,Nitrogen
1450.4,296.3,420.0,10,0.9672,0.0,1.0,0.024218,77.133,Nitrogen
1450.4,332.3,440.0,10,0.9672,0.0,1.0,0.024921,73.496,Nitrogen
1450.4,368.3,460.0,10,0.9672,0.0,1.0,0.025617,70.21,Nitrogen
1450.4,404.3,480.0,10,0.9672,0.0,1.0,0.026307,67.225,Nitrogen
1450.4,440.3,500.0,10,0.9672,0.0,1.0,0.026989,64.498,Nitrogen
1450.4,476.3,520.0,10,0.9672,0.0,1.0,0.027663,61.995,Nitrogen
1450.4,512.3,540.0,10,0.9672,0.0,1.0,0.02833,59.69,Nitrogen
1450.4,548.3,560.0,10,0.9672,0.0,1.0,0.028989,57.558,Nitrogen
1450.4,584.3,580.0,10,0.9672,0.0,1.0,0.02964,55.579,Nitrogen
1450.4,620.3,600.0,10,0.9672,0.0,1.0,0.030284,53.738,Nitrogen
1450.4,656.3,620.0,10,0.9672,0.0,1.0,0.03092,52.02,Nitrogen
1450.4,692.3,640.0,10,0.9672,0.0,1.0,0.031549,50.412,Nitrogen
1450.4,728.3,660.0,10,0.9672,0.0,1.0,0.032172,48.904,Nitrogen
1450.4,764.3,680.0,10,0.9672,0.0,1.0,0.032787,47.486,Nitrogen
1450.4,800.3,700.0,10,0.9672,0.0,1.0,0.033397,46.151,Nitrogen
2175.6,80.3,300.0,15,0.9672,0.0,1.0,0.021487,164.24,Nitrogen
2175.6,116.3,320.0,15,0.9672,0.0,1.0,0.022007,152.13,Nitrogen
2175.6,152.3,340.0,15,0.9672,0.0,1.0,0.022574,141.92,Nitrogen
2175.6,188.3,360.0,15,0.9672,0.0,1.0,0.023173,133.16,Nitrogen
2175.6,224.3,380.0,15,0.9672,0.0,1.0,0.023791,125.54,Nitrogen
2175.6,260.3,400.0,15,0.9672,0.0,1.0,0.024421,118.84,Nitrogen
2175.6,296.3,420.0,15,0.9672,0.0,1.0,0.025059,112.89,Nitrogen
2175.6,332.3,440.0,15,0.9672,0.0,1.0,0.0257,107.57,Nitrogen
2175.6,368.3,460.0,15,0.9672,0.0,1.0,0.026343,102.76,Nitrogen
2175.6,404.3,480.0,15,0.9672,0.0,1.0,0.026984,98.406,Nitrogen
2175.6,440.3,500.0,15,0.9672,0.0,1.0,0.027623,94.431,Nitrogen
2175.6,476.3,520.0,15,0.9672,0.0,1.0,0.028259,90.787,Nitrogen
2175.6,512.3,540.0,15,0.9672,0.0,1.0,0.028892,87.433,Nitrogen
2175.6,548.3,560.0,15,0.9672,0.0,1.0,0.029519,84.333,Nitrogen
2175.6,584.3,580.0,15,0.9672,0.0,1.0,0.030142,81.459,Nitrogen
2175.6,620.3,600.0,15,0.9672,0.0,1.0,0.03076,78.784,Nitrogen
2175.6,656.3,620.0,15,0.9672,0.0,1.0,0.031373,76.289,Nitrogen
2175.6,692.3,640.0,15,0.9672,0.0,1.0,0.03198,73.955,Nitrogen
2175.6,728.3,660.0,15,0.9672,0.0,1.0,0.032583,71.766,Nitrogen
2175.6,764.3,680.0,15,0.9672,0.0,1.0,0.03318,69.708,Nitrogen
2175.6,800.3,700.0,15,0.9672,0.0,1.0,0.033772,67.77,Nitrogen
